title,city,state,postal_code,zestimate,rentZestimate,HOA,price,yearBuilt,area,daysOnZillow,facts and features,url,P2R
Under Contract,Stanley,NC,28164,0,1295,,20000,,,-1,"None beds, None baths",https://www.zillow.com/homedetails/531-Jones-St-Stanley-NC-28164/51629481_zpid/,1.287001287
Under Contract,Stanley,NC,28164,0,1000,,38000,,,-1,"None beds, None baths",https://www.zillow.com/homedetails/278-Upper-Stanley-Rd-Stanley-NC-28164/299746304_zpid/,3.166666667
House for sale,Gastonia,NC,28056,197282,1595,,189000,,2325,-1,"3 beds, 2.0 baths",https://www.zillow.com/homedetails/109-Pacemont-Ln-Gastonia-NC-28056/70484370_zpid/,10.30731452
House for sale,Gastonia,NC,28056,197282,1595,,189000,,2325,-1,"3 beds, 2.0 baths",https://www.zillow.com/homedetails/109-Pacemont-Ln-Gastonia-NC-28056/70484370_zpid/,10.30731452
Under Contract,Gastonia,NC,28054,207045,1495,,198000,,1421,-1,"3 beds, 2.0 baths",https://www.zillow.com/homedetails/516-Whitethorn-Dr-Gastonia-NC-28054/5857486_zpid/,11.5409699
House for sale,Belmont,NC,28012,200094,1400,,200000,,1400,-1,"2 beds, 1.0 baths",https://www.zillow.com/homedetails/6016-W-Wilkinson-Blvd-Belmont-NC-28012/299746439_zpid/,11.91035714
House for sale,Gastonia,NC,28054,221912,1499,,206000,,1700,-1,"3 beds, 3.0 baths",https://www.zillow.com/homedetails/969-Willow-Creek-Dr-Gastonia-NC-28054/80907916_zpid/,12.33666889
Under Contract,Gastonia,NC,28054,254342,1620,,250000,,1721,-1,"3 beds, 2.0 baths",https://www.zillow.com/homedetails/3336-Deerwood-Dr-Gastonia-NC-28054/5857662_zpid/,13.08343621
Lot / Land for sale,Stanley,NC,28164,0,1107,,175000,,,-1,"None beds, None baths",https://www.zillow.com/homedetails/102-Winding-Trl-Stanley-NC-28164/5890748_zpid/,13.17374285
Under Contract,Belmont,NC,28012,306974,1923,,325000,,1937,-1,"3 beds, 3.0 baths",https://www.zillow.com/homedetails/4141-Spool-Ln-Belmont-NC-28012/243418167_zpid/,13.30273878
Coming soon,Belmont,NC,28012,289154,1810,,310000,,1558,-1,"3 beds, 2.0 baths",https://www.zillow.com/homedetails/5031-Abbington-Way-Belmont-NC-28012/122480307_zpid/,13.31279926
